Store,Arrival Time,Order Time,Pickup Time,Total Time
1501144,12:23:00 AM,35,198,245
1501144,12:25:06 AM,23,306,336
1501144,12:33:59 AM,68,575,751
1501144,12:55:44 AM,52,338,401
1501144,1:29:00 AM,37,337,404
1501144,1:39:59 AM,20,267,323
1501144,1:48:43 AM,60,205,280
1501144,1:59:12 AM,60,344,416
1501144,2:46:26 AM,60,270,343
1501144,3:06:19 AM,27,450,506
1501144,3:10:54 AM,246,275,533
1501144,3:20:12 AM,137,366,514
1501144,3:21:08 AM,205,543,998
1501144,3:29:28 AM,84,314,1388
1501144,3:30:07 AM,168,272,1166
1501144,3:51:25 AM,84,359,1171
1501144,4:23:16 AM,15,349,393
1501144,4:24:30 AM,99,2,180
1501144,4:28:49 AM,19,73,226
1501144,4:29:49 AM,32,189,331
1501144,4:40:21 AM,122,213,346
1501144,4:42:18 AM,60,153,383
1501144,4:51:09 AM,20,143,178
1501144,5:06:36 AM,26,89,121
1501144,5:12:27 AM,113,387,517
1501144,5:12:38 AM,30,136,640
1501144,5:22:35 AM,24,319,386
1501144,5:22:38 AM,171,3,384
1501144,5:25:41 AM,63,139,340
1501144,5:28:21 AM,19,42,219
1501144,5:31:17 AM,19,135,343
1501144,5:31:57 AM,19,95,397
1501144,5:36:07 AM,235,134,401
1501144,5:39:18 AM,37,114,322
1501144,5:40:40 AM,34,62,305
1501144,5:42:00 AM,59,66,292
1501144,5:43:54 AM,57,96,271
1501144,5:45:16 AM,33,158,347
1501144,5:47:30 AM,67,143,356
1501144,5:52:16 AM,16,1,72
1501144,5:53:27 AM,16,298,366
1501144,5:54:51 AM,81,198,416
1501144,5:56:44 AM,39,3,304
1501144,5:57:21 AM,71,59,326
1501144,6:02:42 AM,71,157,426
1501144,6:05:20 AM,71,4,270
1501144,6:05:24 AM,71,11,277
1501144,6:11:03 AM,16,112,146
1501144,6:14:52 AM,19,3,47
1501144,6:15:00 AM,25,117,547
1501144,6:15:37 AM,19,251,291
1501144,6:16:11 AM,34,139,359
1501144,6:17:34 AM,55,158,553
1501144,6:18:58 AM,53,42,510
1501144,6:22:17 AM,31,80,389
1501144,6:23:53 AM,18,3,272
1501144,6:24:07 AM,49,71,349
1501144,6:24:52 AM,50,109,412
1501144,6:25:13 AM,48,48,438
1501144,6:25:42 AM,37,86,494
1501144,6:29:27 AM,43,38,304
1501144,6:30:34 AM,29,2,231
1501144,6:31:01 AM,19,190,430
1501144,6:33:38 AM,61,105,349
1501144,6:34:04 AM,24,51,374
1501144,6:36:02 AM,58,4,260
1501144,6:37:35 AM,13,26,192
1501144,6:37:40 AM,17,88,1738
1501144,6:37:53 AM,25,80,254
1501144,6:38:13 AM,33,85,318
1501144,6:39:01 AM,51,84,352
1501144,6:44:34 AM,28,92,132
1501144,6:44:40 AM,36,68,193
1501144,6:46:59 AM,28,3,39
1501144,6:48:13 AM,45,94,179
1501144,6:53:33 AM,17,31,83
1501144,6:53:42 AM,35,39,112
1501144,6:58:00 AM,33,40,175
1501144,6:58:29 AM,35,100,176
1501144,6:58:33 AM,11,88,227
1501144,6:58:37 AM,23,142,396
1501144,7:02:03 AM,46,17,291
1501144,7:02:05 AM,21,92,404
1501144,7:06:29 AM,20,72,212
1501144,7:06:30 AM,29,87,315
1501144,7:09:05 AM,38,198,356
1501144,7:10:44 AM,18,3,208
1501144,7:10:58 AM,37,107,349
1501144,7:12:05 AM,16,87,365
1501144,7:15:09 AM,32,66,245
1501144,7:15:50 AM,34,5,206
1501144,7:16:53 AM,21,70,214
1501144,7:17:34 AM,17,5,128
1501144,7:21:01 AM,140,97,517
1501144,7:22:50 AM,21,230,377
1501144,7:22:55 AM,21,3,146
1501144,7:26:50 AM,55,306,697
1501144,7:28:17 AM,165,75,558
1501144,7:28:42 AM,32,46,457
1501144,7:32:15 AM,25,172,520
1501144,7:32:17 AM,204,54,710
1501144,7:34:11 AM,10,125,546
1501144,7:34:50 AM,7,21,428
1501144,7:43:51 AM,4,91,133
1501144,7:43:51 AM,,42,43
1501144,7:44:33 AM,38,84,174
1501144,7:46:19 AM,27,32,99
1501144,7:47:28 AM,27,41,136
1501144,7:47:40 AM,58,160,227
1501144,7:52:36 AM,22,104,133
1501144,7:54:26 AM,31,54,96
1501144,7:54:54 AM,27,47,113
1501144,7:55:55 AM,28,67,123
1501144,7:56:34 AM,31,38,120
1501144,7:57:07 AM,21,29,116
1501144,7:57:17 AM,23,42,146
1501144,7:57:53 AM,20,53,162
1501144,8:00:37 AM,29,77,137
1501144,8:01:43 AM,29,30,99
1501144,8:02:38 AM,30,167,209
1501144,8:03:32 AM,30,48,201
1501144,8:05:03 AM,35,71,180
1501144,8:09:37 AM,39,53,108
1501144,8:09:57 AM,23,56,151
1501144,8:10:10 AM,36,137,273
1501144,8:11:40 AM,28,26,209
1501144,8:12:16 AM,49,25,199
1501144,8:13:58 AM,23,30,126
1501144,8:15:39 AM,26,47,84
1501144,8:22:54 AM,53,66,143
1501144,8:23:05 AM,24,27,157
1501144,8:24:53 AM,29,104,152
1501144,8:25:31 AM,32,38,154
1501144,8:28:02 AM,22,73,113
1501144,8:28:37 AM,16,82,158
1501144,8:29:05 AM,41,39,269
1501144,8:29:43 AM,26,53,192
1501144,8:32:37 AM,33,28,92
1501144,8:34:20 AM,13,51,89
1501144,8:36:16 AM,40,96,153
